Security,,External ID,Ccy Pair,P/L USD,Premium USD,Value USD,Style,P/C Ccy,P/C,Strike,Barrier1,Barrier2,Premium,Prem Ccy,P/L Ccy1,Option Price % Ccy1,Prem CCY1,Value Ccy1,Theo. Value Ccy1,Option Price % Ccy2,Prem CCY2,Value Ccy2,Theo. Value Ccy2,Creation Date,Creation Time,Trade Date,Trade Time,Prem Date,Expiry Date,Cut,Delivery Date,Model,Spot,Volatility,Depo Ccy1,Depo Ccy2,BB#,mini
Double OT,,14848,EURUSD,121,0,121,Double OT,,,,1.3726,1.2755,0,EUR,93,92.87,0,93,96,,0,121,125,01/25/2012,10:31,01/23/2012,10:31,01/23/2012,04/23/2012,GMT 15:00,04/23/2012,Vanna Volga,1.3013,12.02,0.382,0.55,OPSK9RPL,0
Double OT,,14853,EURUSD,130,0,130,Double OT,,,,1.3357,1.2755,0,EUR,100,99.77,0,100,100,,0,130,130,01/25/2012,10:31,01/23/2012,10:31,01/23/2012,04/23/2012,GMT 15:00,04/23/2012,Vanna Volga,1.3013,12.02,0.382,0.55,OPSK9RQQ,0
Double OT,,14858,EURUSD,130,0,130,Double OT,,,,1.3252,1.2755,0,EUR,100,99.98,0,100,100,,0,130,130,01/25/2012,10:31,01/23/2012,10:31,01/23/2012,04/23/2012,GMT 15:00,04/23/2012,Vanna Volga,1.3013,12.02,0.382,0.55,OPSK9RRQ,0
Double OT,,14044,EURUSD,61,0,61,Double OT,,,,1.3752,1.2667,0,EUR,47,47.25,0,47,50,,0,61,65,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,02/22/2012,GMT 15:00,02/22/2012,Vanna Volga,1.3013,11.43,0.165,0.264,OPSK9QYP,0
Double OT,,14049,EURUSD,96,0,96,Double OT,,,,1.3392,1.2667,0,EUR,73,73.5,0,73,77,,0,96,100,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,02/22/2012,GMT 15:00,02/22/2012,Vanna Volga,1.3013,11.43,0.165,0.264,OPSK9QZC,0
Double OT,,14054,EURUSD,121,0,121,Double OT,,,,1.3192,1.2667,0,EUR,93,93.32,0,93,96,,0,121,124,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,02/22/2012,GMT 15:00,02/22/2012,Vanna Volga,1.3013,11.43,0.165,0.264,OPSK9QZZ,0
Double OT,,14059,EURUSD,126,0,126,Double OT,,,,1.3134,1.2667,0,EUR,97,97.05,0,97,98,,0,126,128,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,02/22/2012,GMT 15:00,02/22/2012,Vanna Volga,1.3013,11.43,0.165,0.264,OPSK9R0P,0
Double OT,,14244,EURUSD,64,0,64,Double OT,,,,1.3873,1.2617,0,EUR,50,49.54,0,50,53,,0,64,69,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/05/2012,GMT 15:00,03/05/2012,Vanna Volga,1.3013,11.59,0.193,0.309,OPSK9R2L,0
Double OT,,14249,EURUSD,98,0,98,Double OT,,,,1.3454,1.2617,0,EUR,76,75.57,0,76,80,,0,98,104,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/05/2012,GMT 15:00,03/05/2012,Vanna Volga,1.3013,11.59,0.193,0.309,OPSK9R38,0
Double OT,,14254,EURUSD,122,0,122,Double OT,,,,1.3222,1.2617,0,EUR,94,94,0,94,97,,0,122,126,01/25/2012,10:30,01/23/2012,10:30,01/23/2012,03/05/2012,GMT 15:00,03/05/2012,Vanna Volga,1.3013,11.59,0.193,0.309,OPSK9R3Y,0
