symbol,epoch,quote
frxUSDJPY,1352340551,79.855
frxUSDJPY,1352340552,79.854
frxUSDJPY,1352340555,79.853
frxUSDJPY,1352340556,79.854
frxUSDJPY,1352340557,79.853
frxUSDJPY,1352340558,79.853
frxUSDJPY,1352340560,79.851
frxUSDJPY,1352340563,79.851
frxUSDJPY,1352340565,79.851
frxUSDJPY,1352340568,79.852
frxUSDJPY,1352340569,79.852
frxUSDJPY,1352340571,79.851
frxUSDJPY,1352340572,79.851
frxUSDJPY,1352340574,79.851
frxUSDJPY,1352340575,79.851
frxUSDJPY,1352340576,79.852
frxUSDJPY,1352340578,79.86
frxUSDJPY,1352340580,79.854
frxUSDJPY,1352340581,79.851
frxUSDJPY,1352340582,79.853
frxUSDJPY,1352340583,79.853
frxUSDJPY,1352340584,79.856
frxUSDJPY,1352340585,79.853
frxUSDJPY,1352340586,79.86
frxUSDJPY,1352340587,79.853
frxUSDJPY,1352340589,79.853
frxUSDJPY,1352340590,79.86
frxUSDJPY,1352340591,79.852
frxUSDJPY,1352340594,79.853
frxUSDJPY,1352340595,79.857
frxUSDJPY,1352340598,79.856
frxUSDJPY,1352340599,79.854
frxUSDJPY,1352340601,79.851
frxUSDJPY,1352340602,79.852
frxUSDJPY,1352340603,79.852
frxUSDJPY,1352340607,79.853
frxUSDJPY,1352340608,79.851
frxUSDJPY,1352340609,79.851
frxUSDJPY,1352340611,79.854
frxUSDJPY,1352340615,79.852
frxUSDJPY,1352340617,79.852
frxUSDJPY,1352340618,79.852
frxUSDJPY,1352340620,79.861
frxUSDJPY,1352340622,79.855
frxUSDJPY,1352340623,79.85
frxUSDJPY,1352340624,79.852
frxUSDJPY,1352340625,79.852
frxUSDJPY,1352340626,79.85
frxUSDJPY,1352340627,79.852
frxUSDJPY,1352340628,79.857
frxUSDJPY,1352340629,79.853
frxUSDJPY,1352340631,79.854
frxUSDJPY,1352340633,79.854
frxUSDJPY,1352340634,79.852
frxUSDJPY,1352340636,79.854
frxUSDJPY,1352340637,79.854
frxUSDJPY,1352340638,79.855
frxUSDJPY,1352340639,79.855
frxUSDJPY,1352340642,79.862
frxUSDJPY,1352340643,79.856
frxUSDJPY,1352340648,79.854
frxUSDJPY,1352340650,79.854
frxUSDJPY,1352340652,79.857
frxUSDJPY,1352340654,79.861
frxUSDJPY,1352340655,79.856
frxUSDJPY,1352340657,79.862
frxUSDJPY,1352340658,79.859
frxUSDJPY,1352340659,79.857
frxUSDJPY,1352340661,79.857
frxUSDJPY,1352340662,79.857
frxUSDJPY,1352340663,79.858
frxUSDJPY,1352340664,79.862
frxUSDJPY,1352340666,79.858
frxUSDJPY,1352340668,79.854
frxUSDJPY,1352340670,79.861
frxUSDJPY,1352340671,79.857
frxUSDJPY,1352340673,79.853
frxUSDJPY,1352340674,79.853
frxUSDJPY,1352340677,79.853
frxUSDJPY,1352340679,79.86
frxUSDJPY,1352340680,79.856
frxUSDJPY,1352340681,79.855
frxUSDJPY,1352340682,79.861
frxUSDJPY,1352340683,79.858
frxUSDJPY,1352340684,79.855
frxUSDJPY,1352340685,79.854
frxUSDJPY,1352340686,79.854
frxUSDJPY,1352340688,79.855
frxUSDJPY,1352340689,79.854
frxUSDJPY,1352340690,79.853
frxUSDJPY,1352340691,79.853
frxUSDJPY,1352340692,79.86
frxUSDJPY,1352340693,79.854
frxUSDJPY,1352340694,79.855
frxUSDJPY,1352340695,79.854
frxUSDJPY,1352340696,79.861
frxUSDJPY,1352340697,79.849
frxUSDJPY,1352340698,79.851
frxUSDJPY,1352340699,79.85
frxUSDJPY,1352340700,79.85
frxUSDJPY,1352340707,79.854
frxUSDJPY,1352340708,79.852
frxUSDJPY,1352340711,79.851
frxUSDJPY,1352340716,79.851
frxUSDJPY,1352340717,79.852
frxUSDJPY,1352340718,79.854
frxUSDJPY,1352340725,79.85
frxUSDJPY,1352340726,79.848
frxUSDJPY,1352340729,79.848
frxUSDJPY,1352340731,79.848
frxUSDJPY,1352340732,79.849
frxUSDJPY,1352340733,79.849
frxUSDJPY,1352340735,79.849
frxUSDJPY,1352340736,79.847
frxUSDJPY,1352340741,79.848
frxUSDJPY,1352340743,79.85
frxUSDJPY,1352340745,79.844
frxUSDJPY,1352340746,79.852
frxUSDJPY,1352340748,79.851
frxUSDJPY,1352340750,79.847
frxUSDJPY,1352340754,79.847
frxUSDJPY,1352340756,79.849
frxUSDJPY,1352340757,79.848
frxUSDJPY,1352340765,79.848
frxUSDJPY,1352340768,79.849
