DATE,26-Nov-13,,,,,,,,,,,,,,,,,,,,,
TIME,02:28 GMT,,,,,,,,,,,,,,,,,,,,,
FILE,SD_SX5E2,,,,,,,,,,,,,,,,,,,,,
UNDERLYING,SX5E,,,,,,,,,,,,,,,,,,,,,
SPOT,3072.75,,,,,,,,,,,,,,,,,,,,,
CURRENCY,USD,,,,,,,,,,,,,,,,,,,,,
SABR PARAMETERS,,,,,5-Nov,21-Nov,-21,-5,,,,,,,,,,,,,,
atmvolshort,0.1165,,,,17-Nov,14-Jan,-9,49,,,,,,,,,,,,,,
atmvol1year,0.17787,,,,17-Jan,13-Feb,52,79,,,,,,,,,,,,,,
atmvolLong,0.20767,,,,14-Feb,15-Apr,80,140,,,,,,,,,,,,,,
atmWingL,0.5507,,,,21-Apr,24-Jun,146,210,,,,,,,,,,,,,,
atmWingR,3.27631,,,,25-Jun,25-Jul,211,241,,,,,,,,,,,,,,
skewshort,-0.02096,,,,5-May,8-Jul,160,224,,,,,,,,,,,,,,
skew1year,-0.18829,,,,,,,,,,,,,,,,,,,,,
skewlong,-0.19126,,,,,,,,,,,,,,,,,,,,,
skewwingL,19.97639,,,,,,,,,,,,,,,,,,,,,
skewwingR,3.01558,,,,,,,,,,,,,,,,,,,,,
kurtosisshort,0.35972,,,,,,,,,,,,,,,,,,,,,
kurtosislong,0.3383,,,,,,,,,,,,,,,,,,,,,
kurtosisgrowth,4.85351,,,,,,,,,,,,,,,,,,,,,
END SABR PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
VOL SURFACE STANDARD DATES,,,,,,,,,,,,,,,,,,,,,,
,%ATMS,80%,82%,84%,86%,88%,90%,92%,94%,96%,98%,100%,102%,104%,106%,108%,110%,112%,114%,116%,118%,120%
27-May-14,13.89,0.6,16.42,1789.61,99.29,14.97,0,0.23,,,,,,,,,,,,,,
26-Aug-14,14.83,0.6,17.58,1782.76,98.91,23.05,0,0.25,,,,,,,,,,,,,,
26-Nov-14,15.48,0.64,18.36,1775.86,98.52,31.31,0,0.26,,,,,,,,,,,,,,
26-May-15,16.89,0.74,19.68,1762.85,97.8,47.66,0,0.3,,,,,,,,,,,,,,
27-Nov-15,17.76,0.85,20.53,1750.33,97.11,65.32,0,0.37,,,,,,,,,,,,,,
28-Nov-16,18.85,1.05,21.8,1735.54,96.29,100.3,0,0.63,,,,,,,,,,,,,,
27-Nov-17,19.9,1.23,22.63,1733.57,96.18,139.93,0,1.01,,,,,,,,,,,,,,
26-Nov-18,20.52,1.41,23.17,1749.14,97.04,178.96,0,1.43,,,,,,,,,,,,,,
27-Nov-20,22.37,1.78,24.15,1801.65,99.95,269.29,0,2.17,,,,,,,,,,,,,,
27-Nov-23,25.32,2.33,26.46,1903.96,105.63,420.53,0,2.9,,,,,,,,,,,,,,
END TERM STRUCTURE STANDARD DATES USD,,,,,,,,,,,,,,,,,,,,,,
TERM STRUCTURE STANDARD DATES EUR,,,,,,,,,,,,,,,,,,,,,,
Term,ATM Vol Mid(%),ATM Vol Spread(%),Var Swap(%),Forward Price(USD),Forward Price(%),Dividend points,Security Lending(%),Funding rate(%),,,,,,,,,,,,,,
3-Dec-13,12.32,0.79,13,3072.32,99.99,0.53,0,0.16,,,,,,,,,,,,,,
27-Dec-13,12.98,0.5,14.63,3069.44,99.89,3.67,0,0.14,,,,,,,,,,,,,,
27-Jan-14,13.83,0.46,16.88,3064.02,99.72,9.69,0,0.18,,,,,,,,,,,,,,
26-Feb-14,14.84,0.42,17.69,3064.23,99.72,10.27,0,0.22,,,,,,,,,,,,,,
26-May-14,16.3,0.4,19.58,3001.79,97.69,75.9,0,0.32,,,,,,,,,,,,,,
26-Aug-14,17.16,0.39,20.45,2994.82,97.46,85.07,0,0.31,,,,,,,,,,,,,,
26-Nov-14,17.77,0.4,21.08,2985.05,97.15,98.53,0,0.36,,,,,,,,,,,,,,
26-May-15,18.16,0.46,22,2918.59,94.98,171.9,0,0.39,,,,,,,,,,,,,,
26-Nov-15,18.81,0.52,22.77,2905.55,94.56,193.77,0,0.44,,,,,,,,,,,,,,
28-Nov-16,19.22,0.63,23.6,2844.09,92.56,282.04,0,0.6,,,,,,,,,,,,,,
27-Nov-17,19.66,0.74,24.31,2800.44,91.14,367.66,0,0.82,,,,,,,,,,,,,,
26-Nov-18,19.75,0.85,24.91,2779.19,90.45,444.99,0,1.06,,,,,,,,,,,,,,
26-Nov-20,20.05,1.07,25.97,2773.97,90.28,594.08,0,1.49,,,,,,,,,,,,,,
27-Nov-23,20.44,1.4,27.07,2826.85,92,809.46,0,2,,,,,,,,,,,,,,
END TERM STRUCTURE STANDARD DATES EUR,,,,,,,,,,,,,,,,,,,,,,
VOL SPREADS,,,,,,,,,,,,,,,,,,,,,,
Date,Days, Volatility Spread (%),,,,,,,,,,,,,,,,,,,,
6-Dec-13,10,0.75,,,,,,,,,,,,,,,,,,,,
26-Dec-13,30,0.5,,,,,,,,,,,,,,,,,,,,
6-Mar-14,100,0.41,,,,,,,,,,,,,,,,,,,,
22-Sep-14,300,0.38,,,,,,,,,,,,,,,,,,,,
22-Aug-16,1000,0.6,,,,,,,,,,,,,,,,,,,,
12-Feb-22,3000,1.2,,,,,,,,,,,,,,,,,,,,
END VOL SPREADS,,,,,,,,,,,,,,,,,,,,,,
RATES,,,,,,,,,,,,,,,,,,,,,,
Date,Days, Rate (%pa),Discount Factor,,,,,,,,,,,,,,,,,,,
27-Nov-13,1,0.1,0.9999972222,,,,,,,,,,,,,,,,,,,
28-Nov-13,2,0.1250002083,0.9999930556,,,,,,,,,,,,,,,,,,,
3-Dec-13,7,0.1597152069,0.9999689452,,,,,,,,,,,,,,,,,,,
12-Dec-13,16,0.126750798,0.9999436695,,,,,,,,,,,,,,,,,,,
30-Dec-13,34,0.1381773979,0.9998695162,,,,,,,,,,,,,,,,,,,
28-Jan-14,63,0.1821282857,0.9996813771,,,,,,,,,,,,,,,,,,,
28-Feb-14,94,0.2248314238,0.9994132846,,,,,,,,,,,,,,,,,,,
28-May-14,183,0.3238055193,0.9983566935,,,,,,,,,,,,,,,,,,,
30-Jun-14,216,0.3124825582,0.9981286133,,,,,,,,,,,,,,,,,,,
28-Jul-14,244,0.3030286386,0.9979503489,,,,,,,,,,,,,,,,,,,
28-Aug-14,275,0.3106432262,0.9976326486,,,,,,,,,,,,,,,,,,,
29-Sep-14,307,0.3280329722,0.9972104113,,,,,,,,,,,,,,,,,,,
28-Oct-14,336,0.3425912497,0.9968126732,,,,,,,,,,,,,,,,,,,
28-Nov-14,367,0.354791683,0.996396007,,,,,,,,,,,,,,,,,,,
