,%ATMS,80%,82%,84%,86%,88%,90%,92%,94%,96%,98%,100%,102%,104%,106%,108%,110%,112%,114%,116%,118%,120%
11-Dec-13,30,0.5,,,,,,,,,,,,,,,,,,,,
9-Feb-14,90,0.4,,,,,,,,,,,,,,,,,,,,
11-Nov-15,730,0.3,,,,,,,,,,,,,,,,,,,,
10-Nov-18,1825,0.3,,,,,,,,,,,,,,,,,,,,
9-Nov-23,3650,0.3,,,,,,,,,,,,,,,,,,,,
END VOL SPREADS,,,,,,,,,,,,,,,,,,,,,,
RATES,,,,,,,,,,,,,,,,,,,,,,
Date,Days, Rate (%pa),Discount Factor,,,,,,,,,,,,,,,,,,,
12-Nov-13,1,0.45,0.999987671,,,,,,,,,,,,,,,,,,,
13-Nov-13,2,0.425,0.999976713,,,,,,,,,,,,,,,,,,,
18-Nov-13,7,0.475630002,0.999908792,,,,,,,,,,,,,,,,,,,
11-Dec-13,30,0.488750211,0.999598449,,,,,,,,,,,,,,,,,,,
13-Jan-14,63,0.503880462,0.999131044,,,,,,,,,,,,,,,,,,,
11-Feb-14,92,0.524060228,0.998680824,,,,,,,,,,,,,,,,,,,
12-May-14,182,0.599059997,0.997021803,,,,,,,,,,,,,,,,,,,
11-Jun-14,212,0.601640867,0.996517707,,,,,,,,,,,,,,,,,,,
14-Jul-14,245,0.606154999,0.995947776,,,,,,,,,,,,,,,,,,,
11-Aug-14,273,0.618086311,0.995398326,,,,,,,,,,,,,,,,,,,
11-Sep-14,304,0.63673802,0.994724733,,,,,,,,,,,,,,,,,,,
13-Oct-14,336,0.651737285,0.994036226,,,,,,,,,,,,,,,,,,,
12-Nov-14,366,0.664969626,0.993376192,,,,,,,,,,,,,,,,,,,
11-Dec-14,395,0.672333084,0.992774646,,,,,,,,,,,,,,,,,,,
11-Feb-15,457,0.692215676,0.991400132,,,,,,,,,,,,,,,,,,,
END RATES,,,,,,,,,,,,,,,,,,,,,,
DIVIDENDS,,,,,,,,,,,,,,,,,,,,,,
13-Nov-13,1.1609,,,,,,,,,,,,,,,,,,,,,
14-Nov-13,17.4371,,,,,,,,,,,,,,,,,,,,,
15-Nov-13,0.4339,,,,,,,,,,,,,,,,,,,,,
20-Nov-13,0.1527,,,,,,,,,,,,,,,,,,,,,
21-Nov-13,4.5249,,,,,,,,,,,,,,,,,,,,,
22-Nov-13,2.6568,,,,,,,,,,,,,,,,,,,,,
28-Nov-13,0.1036,,,,,,,,,,,,,,,,,,,,,
4-Dec-13,1.5181,,,,,,,,,,,,,,,,,,,,,
5-Dec-13,1.0215,,,,,,,,,,,,,,,,,,,,,
19-Dec-13,0.2324,,,,,,,,,,,,,,,,,,,,,
24-Dec-13,0.1435,,,,,,,,,,,,,,,,,,,,,
27-Dec-13,0.0234,,,,,,,,,,,,,,,,,,,,,
16-Jan-14,0.505,,,,,,,,,,,,,,,,,,,,,
23-Jan-14,1.0485,,,,,,,,,,,,,,,,,,,,,
24-Jan-14,0.9322,,,,,,,,,,,,,,,,,,,,,
6-Feb-14,0.8897,,,,,,,,,,,,,,,,,,,,,
13-Feb-14,16.6412,,,,,,,,,,,,,,,,,,,,,
20-Feb-14,8.2413,,,,,,,,,,,,,,,,,,,,,
27-Feb-14,0.2834,,,,,,,,,,,,,,,,,,,,,
6-Mar-14,8.2746,,,,,,,,,,,,,,,,,,,,,
