Valuation Date,Term Structure,Base Currency,Term Currency,Option Class,Call/Put,Spot,Strike Price,Barrier1,Barrier2,Days,Expiry Date,Delivery Date,Price Mid,Delta,Gamma,Vega,Theta,Rho,Market Vol Bid,Market Vol Ask,Price Bid,Price Offer,ID,mini
03-Dec-11,GBPAUD,GBP,AUD,OT,,1.5268,,1.475,,16,19-Dec-11,19-Dec-11,0.14,-11.93,6.5285,0.03436,-0.02629,0.00309,0,0,0.1125,0.1675,GBPAUD_46,0
03-Dec-11,GBPAUD,GBP,AUD,OT,,1.5268,,1.48,,16,19-Dec-11,19-Dec-11,0.18375,-14.28,7.0884,0.03714,-0.0287,0.00354,0,0,0.155,0.2125,GBPAUD_47,0
03-Dec-11,GBPAUD,GBP,AUD,OT,,1.5268,,1.485,,16,19-Dec-11,19-Dec-11,0.23375,-16.8,7.4865,0.039,-0.0304,0.00395,0,0,0.205,0.2625,GBPAUD_48,0
03-Dec-11,GBPAUD,GBP,AUD,OT,,1.5268,,1.49,,16,19-Dec-11,19-Dec-11,0.2975,-19.42,7.6756,0.03968,-0.03114,0.00428,0,0,0.2675,0.3275,GBPAUD_49,0
03-Dec-11,GBPAUD,GBP,AUD,OT,,1.5268,,1.495,,16,19-Dec-11,19-Dec-11,0.36625,-22.05,7.6169,0.03895,-0.03073,0.00448,0,0,0.3375,0.395,GBPAUD_50,0
03-Dec-11,GBPAUD,GBP,AUD,OT,,1.5268,,1.5,,16,19-Dec-11,19-Dec-11,0.44625,-24.63,7.2846,0.03667,-0.02904,0.0045,0,0,0.4175,0.475,GBPAUD_51,0
03-Dec-11,GBPAUD,GBP,AUD,OT,,1.5268,,1.505,,16,19-Dec-11,19-Dec-11,0.5325,-27.04,6.6693,0.03277,-0.02601,0.0043,0,0,0.5025,0.5625,GBPAUD_52,0
03-Dec-11,GBPAUD,GBP,AUD,OT,,1.5268,,1.51,,16,19-Dec-11,19-Dec-11,0.6325,-29.21,5.7805,0.0273,-0.02168,0.00382,0,0,0.6025,0.6625,GBPAUD_53,0
03-Dec-11,GBPAUD,GBP,AUD,OT,,1.5268,,1.515,,16,19-Dec-11,19-Dec-11,0.72875,-31.04,4.647,0.0204,-0.01618,0.00302,0,0,0.7,0.7575,GBPAUD_54,0
03-Dec-11,GBPAUD,GBP,AUD,OT,,1.5268,,1.52,,16,19-Dec-11,19-Dec-11,0.82875,-32.46,3.3153,0.01231,-0.00973,0.00186,0,0,0.8,0.8575,GBPAUD_55,0
03-Dec-11,GBPAUD,GBP,AUD,OT,,1.5268,,1.525,,16,19-Dec-11,19-Dec-11,0.93625,-33.42,1.8468,0.00336,-0.00263,0.0003,0,0,0.91,0.9625,GBPAUD_56,0
03-Dec-11,GBPAUD,GBP,AUD,OT,,1.5268,,1.53,,16,19-Dec-11,19-Dec-11,0.89,28.98,-0.12329,0.00474,-0.00428,-0.00135,0,0,0.8625,0.9175,GBPAUD_57,0
03-Dec-11,GBPAUD,GBP,AUD,OT,,1.5268,,1.535,,16,19-Dec-11,19-Dec-11,0.79375,28.86,1.4045,0.01214,-0.01091,-0.00265,0,0,0.765,0.8225,GBPAUD_58,0
03-Dec-11,GBPAUD,GBP,AUD,OT,,1.5268,,1.54,,16,19-Dec-11,19-Dec-11,0.70375,28.26,2.8499,0.01917,-0.01711,-0.00363,0,0,0.675,0.7325,GBPAUD_59,0
03-Dec-11,GBPAUD,GBP,AUD,OT,,1.5268,,1.545,,16,19-Dec-11,19-Dec-11,0.61625,27.21,4.1473,0.02549,-0.02256,-0.00432,0,0,0.5875,0.645,GBPAUD_60,0
