Valuation Date,Term Structure,Base Currency,Term Currency,Option Class,Call/Put,Spot,Strike Price,Barrier1,Barrier2,Days,Expiry Date,Delivery Date,Price Mid,Delta,Gamma,Vega,Theta,Rho,Price Bid,Price Offer,ID,mini
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,13,30-Nov-11,30-Nov-11,0.54125,13.2,0.09324,0.00053,-0.00017,-0.00343,0.505,0.5775,EURUSD_330,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,14,01-Dec-11,01-Dec-11,0.5425,12.65,0.08887,0.00055,-0.00016,-0.00365,0.51,0.575,EURUSD_331,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,15,02-Dec-11,02-Dec-11,0.54375,12.16,0.08518,0.00057,-0.00015,-0.00387,0.5125,0.575,EURUSD_332,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,16,03-Dec-11,03-Dec-11,0.54625,12.05,0.08564,0.00059,-0.00013,-0.00418,0.5175,0.575,EURUSD_333,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,17,04-Dec-11,04-Dec-11,0.5475,11.73,0.08388,0.00062,-0.00012,-0.00442,0.52,0.575,EURUSD_334,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,18,05-Dec-11,05-Dec-11,0.54875,11.34,0.08111,0.00063,-0.00012,-0.00461,0.5225,0.575,EURUSD_335,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,19,06-Dec-11,06-Dec-11,0.55,10.99,0.07697,0.00064,-0.00012,-0.00479,0.525,0.575,EURUSD_336,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,20,07-Dec-11,07-Dec-11,0.55125,10.66,0.07321,0.00064,-0.00012,-0.00496,0.5275,0.575,EURUSD_337,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,21,08-Dec-11,08-Dec-11,0.5525,10.36,0.06977,0.00064,-0.00013,-0.00513,0.53,0.575,EURUSD_338,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,22,09-Dec-11,09-Dec-11,0.55375,10.09,0.06661,0.00065,-0.00013,-0.0053,0.5325,0.575,EURUSD_339,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,23,10-Dec-11,10-Dec-11,0.55625,10.02,0.06548,0.00065,-0.00013,-0.00556,0.535,0.5775,EURUSD_340,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,24,11-Dec-11,11-Dec-11,0.5575,9.8429,0.06319,0.00066,-0.00013,-0.00575,0.5375,0.5775,EURUSD_341,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,25,12-Dec-11,12-Dec-11,0.56,9.6069,0.06042,0.00066,-0.00013,-0.0059,0.54,0.58,EURUSD_342,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,26,13-Dec-11,13-Dec-11,0.56125,9.3876,0.05832,0.00066,-0.00013,-0.00604,0.5425,0.58,EURUSD_343,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,27,14-Dec-11,14-Dec-11,0.56125,9.1826,0.05637,0.00067,-0.00013,-0.00619,0.5425,0.58,EURUSD_344,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,28,15-Dec-11,15-Dec-11,0.56375,8.99,0.05454,0.00067,-0.00013,-0.00633,0.545,0.5825,EURUSD_345,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,29,16-Dec-11,16-Dec-11,0.565,8.8093,0.05283,0.00067,-0.00013,-0.00647,0.5475,0.5825,EURUSD_346,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,30,17-Dec-11,17-Dec-11,0.5675,8.766,0.05222,0.00068,-0.00013,-0.0067,0.55,0.585,EURUSD_347,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,31,18-Dec-11,18-Dec-11,0.5675,8.644,0.05098,0.00069,-0.00013,-0.00686,0.55,0.585,EURUSD_348,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,32,19-Dec-11,19-Dec-11,0.57,8.4831,0.04946,0.00069,-0.00013,-0.00699,0.5525,0.5875,EURUSD_349,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,33,20-Dec-11,20-Dec-11,0.57,8.3352,0.04805,0.00069,-0.00013,-0.00712,0.5525,0.5875,EURUSD_350,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,34,21-Dec-11,21-Dec-11,0.57,8.1943,0.04671,0.00069,-0.00013,-0.00725,0.5525,0.5875,EURUSD_351,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,35,22-Dec-11,22-Dec-11,0.57,8.0601,0.04558,0.0007,-0.00013,-0.00738,0.5525,0.5875,EURUSD_352,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,36,23-Dec-11,23-Dec-11,0.57,7.933,0.04451,0.0007,-0.00013,-0.0075,0.5525,0.5875,EURUSD_353,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,37,24-Dec-11,24-Dec-11,0.5725,7.902,0.04409,0.00071,-0.00013,-0.00771,0.555,0.59,EURUSD_354,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,38,25-Dec-11,25-Dec-11,0.5725,7.8209,0.04334,0.00071,-0.00013,-0.00786,0.555,0.59,EURUSD_355,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,39,26-Dec-11,26-Dec-11,0.5725,7.7329,0.04254,0.00072,-0.00013,-0.00801,0.555,0.59,EURUSD_356,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,40,27-Dec-11,27-Dec-11,0.5725,7.6483,0.04178,0.00072,-0.00013,-0.00816,0.555,0.59,EURUSD_357,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,41,28-Dec-11,28-Dec-11,0.575,7.5388,0.04085,0.00072,-0.00013,-0.00827,0.5575,0.5925,EURUSD_358,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,42,29-Dec-11,29-Dec-11,0.575,7.4344,0.03998,0.00073,-0.00013,-0.00838,0.5575,0.5925,EURUSD_359,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,43,30-Dec-11,30-Dec-11,0.575,7.3339,0.03914,0.00073,-0.00012,-0.00849,0.5575,0.5925,EURUSD_360,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,44,31-Dec-11,31-Dec-11,0.575,7.3088,0.03875,0.00073,-0.00012,-0.00869,0.5575,0.5925,EURUSD_361,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,45,01-Jan-12,01-Jan-12,0.575,7.2453,0.03813,0.00074,-0.00012,-0.00883,0.5575,0.5925,EURUSD_362,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,46,02-Jan-12,02-Jan-12,0.5775,7.1749,0.03748,0.00074,-0.00012,-0.00896,0.56,0.595,EURUSD_363,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,47,03-Jan-12,03-Jan-12,0.5775,7.0846,0.03672,0.00074,-0.00012,-0.00907,0.56,0.595,EURUSD_364,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,48,04-Jan-12,04-Jan-12,0.5775,6.9974,0.03599,0.00074,-0.00012,-0.00917,0.56,0.595,EURUSD_365,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,49,05-Jan-12,05-Jan-12,0.5775,6.9134,0.03529,0.00075,-0.00012,-0.00928,0.56,0.595,EURUSD_366,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,50,06-Jan-12,06-Jan-12,0.5775,6.832,0.03461,0.00075,-0.00012,-0.00938,0.56,0.595,EURUSD_367,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,51,07-Jan-12,07-Jan-12,0.5775,6.8122,0.03426,0.00075,-0.00012,-0.00956,0.56,0.595,EURUSD_368,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,52,08-Jan-12,08-Jan-12,0.58,6.7564,0.03372,0.00075,-0.00012,-0.00969,0.5625,0.5975,EURUSD_369,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,53,09-Jan-12,09-Jan-12,0.58,6.6807,0.03308,0.00075,-0.00012,-0.00979,0.5625,0.5975,EURUSD_370,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,54,10-Jan-12,10-Jan-12,0.58,6.6072,0.03247,0.00075,-0.00012,-0.00988,0.5625,0.5975,EURUSD_371,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,55,11-Jan-12,11-Jan-12,0.58,6.5363,0.03188,0.00075,-0.00012,-0.00998,0.5625,0.5975,EURUSD_372,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,56,12-Jan-12,12-Jan-12,0.58,6.4677,0.0313,0.00076,-0.00012,-0.01008,0.5625,0.5975,EURUSD_373,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.3468,,,57,13-Jan-12,13-Jan-12,0.58,6.4014,0.03075,0.00076,-0.00012,-0.01018,0.5625,0.5975,EURUSD_374,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,1,18-Nov-11,18-Nov-11,0.0349,1.4329,3.9907,0.00196,-0.00479,0,0.0048,0.065,EURUSD_375,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,2,19-Nov-11,19-Nov-11,0.05,2.5311,5.6419,0.00438,-0.00976,0,0.01,0.09,EURUSD_376,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,3,20-Nov-11,20-Nov-11,0.06625,5.4519,7.7212,0.00922,-0.0208,0,0.02,0.1125,EURUSD_377,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,4,21-Nov-11,21-Nov-11,0.07875,7.9422,7.4745,0.01265,-0.02547,0,0.0275,0.13,EURUSD_378,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,5,22-Nov-11,22-Nov-11,0.08875,9.1642,6.4647,0.01415,-0.0241,-0.00026,0.0375,0.14,EURUSD_379,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,6,23-Nov-11,23-Nov-11,0.11375,9.7295,5.4936,0.01473,-0.02145,-0.00055,0.0625,0.165,EURUSD_380,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,7,24-Nov-11,24-Nov-11,0.13125,9.9269,4.836,0.01509,-0.01872,-0.00084,0.0825,0.18,EURUSD_381,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,8,25-Nov-11,25-Nov-11,0.15,9.9963,4.2043,0.01511,-0.01645,-0.00113,0.105,0.195,EURUSD_382,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,9,26-Nov-11,26-Nov-11,0.15375,9.9939,4.0655,0.01577,-0.01453,-0.00142,0.11,0.1975,EURUSD_383,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,10,27-Nov-11,27-Nov-11,0.165,9.9643,3.7031,0.01585,-0.01299,-0.0017,0.125,0.205,EURUSD_384,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,11,28-Nov-11,28-Nov-11,0.18,9.8758,3.278,0.01558,-0.01168,-0.00196,0.1425,0.2175,EURUSD_385,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,12,29-Nov-11,29-Nov-11,0.19375,9.7518,2.9255,0.0153,-0.01055,-0.00222,0.1575,0.23,EURUSD_386,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,13,30-Nov-11,30-Nov-11,0.20625,9.6084,2.6306,0.015,-0.00958,-0.00246,0.1725,0.24,EURUSD_387,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,14,01-Dec-11,01-Dec-11,0.21875,9.4553,2.3818,0.01471,-0.00874,-0.0027,0.1875,0.25,EURUSD_388,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,15,02-Dec-11,02-Dec-11,0.2275,9.2979,2.1695,0.01443,-0.00801,-0.00292,0.1975,0.2575,EURUSD_389,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,16,03-Dec-11,03-Dec-11,0.23,9.2558,2.1216,0.01471,-0.00745,-0.00317,0.2025,0.2575,EURUSD_390,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,17,04-Dec-11,04-Dec-11,0.23625,9.1413,1.9926,0.01462,-0.00691,-0.0034,0.21,0.2625,EURUSD_391,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,18,05-Dec-11,05-Dec-11,0.24625,8.9854,1.8338,0.01432,-0.00641,-0.0036,0.22,0.2725,EURUSD_392,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,19,06-Dec-11,06-Dec-11,0.255,8.8363,1.6946,0.01404,-0.00597,-0.0038,0.23,0.28,EURUSD_393,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,20,07-Dec-11,07-Dec-11,0.2625,8.6912,1.5721,0.01377,-0.00558,-0.00399,0.24,0.285,EURUSD_394,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,21,08-Dec-11,08-Dec-11,0.27,8.5503,1.4635,0.01351,-0.00523,-0.00417,0.2475,0.2925,EURUSD_395,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,22,09-Dec-11,09-Dec-11,0.27875,8.4141,1.3669,0.01327,-0.00492,-0.00435,0.2575,0.3,EURUSD_396,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,23,10-Dec-11,10-Dec-11,0.28125,8.3818,1.3443,0.01343,-0.00469,-0.00458,0.26,0.3025,EURUSD_397,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,24,11-Dec-11,11-Dec-11,0.2875,8.2882,1.2828,0.01333,-0.00444,-0.00477,0.2675,0.3075,EURUSD_398,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,25,12-Dec-11,12-Dec-11,0.295,8.1615,1.2048,0.01309,-0.00421,-0.00493,0.275,0.315,EURUSD_399,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,26,13-Dec-11,13-Dec-11,0.30125,8.0389,1.1348,0.01287,-0.00399,-0.0051,0.2825,0.32,EURUSD_400,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,27,14-Dec-11,14-Dec-11,0.3075,7.9207,1.0714,0.01265,-0.00379,-0.00525,0.29,0.325,EURUSD_401,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,28,15-Dec-11,15-Dec-11,0.31375,7.8067,1.0136,0.01245,-0.0036,-0.00541,0.295,0.3325,EURUSD_402,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,29,16-Dec-11,16-Dec-11,0.31875,7.6971,0.96095,0.01226,-0.00343,-0.00556,0.3,0.3375,EURUSD_403,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,30,17-Dec-11,17-Dec-11,0.32,7.6708,0.94843,0.01237,-0.00331,-0.00577,0.3025,0.3375,EURUSD_404,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,31,18-Dec-11,18-Dec-11,0.325,7.5952,0.91396,0.01229,-0.00317,-0.00593,0.3075,0.3425,EURUSD_405,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,32,19-Dec-11,19-Dec-11,0.33,7.4935,0.8696,0.0121,-0.00304,-0.00607,0.3125,0.3475,EURUSD_406,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,33,20-Dec-11,20-Dec-11,0.335,7.3982,0.82987,0.01194,-0.00291,-0.00622,0.3175,0.3525,EURUSD_407,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,34,21-Dec-11,21-Dec-11,0.34,7.3059,0.79302,0.01178,-0.00279,-0.00636,0.3225,0.3575,EURUSD_408,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,35,22-Dec-11,22-Dec-11,0.3425,7.2163,0.75887,0.01163,-0.00268,-0.00649,0.325,0.36,EURUSD_409,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,36,23-Dec-11,23-Dec-11,0.3475,7.1303,0.72735,0.01148,-0.00258,-0.00663,0.33,0.365,EURUSD_410,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,37,24-Dec-11,24-Dec-11,0.3475,7.1094,0.71967,0.01156,-0.0025,-0.00682,0.33,0.365,EURUSD_411,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,38,25-Dec-11,25-Dec-11,0.35,7.0538,0.70002,0.01151,-0.00242,-0.00697,0.3325,0.3675,EURUSD_412,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,39,26-Dec-11,26-Dec-11,0.3525,6.9929,0.67904,0.01144,-0.00234,-0.00712,0.335,0.37,EURUSD_413,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,40,27-Dec-11,27-Dec-11,0.3575,6.9339,0.65924,0.01138,-0.00227,-0.00727,0.34,0.375,EURUSD_414,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,41,28-Dec-11,28-Dec-11,0.36,6.8565,0.63414,0.01124,-0.00219,-0.00739,0.3425,0.3775,EURUSD_415,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,42,29-Dec-11,29-Dec-11,0.3625,6.782,0.61076,0.01111,-0.00212,-0.00752,0.345,0.38,EURUSD_416,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,43,30-Dec-11,30-Dec-11,0.3675,6.7095,0.58871,0.01098,-0.00205,-0.00764,0.35,0.385,EURUSD_417,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,44,31-Dec-11,31-Dec-11,0.3675,6.6917,0.58316,0.01104,-0.002,-0.00781,0.35,0.385,EURUSD_418,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,45,01-Jan-12,01-Jan-12,0.37,6.6455,0.56948,0.011,-0.00194,-0.00796,0.3525,0.3875,EURUSD_419,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,46,02-Jan-12,02-Jan-12,0.3725,6.5941,0.55458,0.01094,-0.00189,-0.00809,0.355,0.39,EURUSD_420,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,47,03-Jan-12,03-Jan-12,0.375,6.5274,0.53586,0.01082,-0.00183,-0.00821,0.3575,0.3925,EURUSD_421,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,48,04-Jan-12,04-Jan-12,0.3775,6.4624,0.51812,0.0107,-0.00178,-0.00832,0.36,0.395,EURUSD_422,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,49,05-Jan-12,05-Jan-12,0.38,6.3994,0.50137,0.01059,-0.00173,-0.00844,0.3625,0.3975,EURUSD_423,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,50,06-Jan-12,06-Jan-12,0.3825,6.3378,0.48546,0.01048,-0.00168,-0.00855,0.365,0.4,EURUSD_424,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,51,07-Jan-12,07-Jan-12,0.385,6.3232,0.48149,0.01053,-0.00164,-0.00872,0.3675,0.4025,EURUSD_425,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,52,08-Jan-12,08-Jan-12,0.3875,6.2808,0.47075,0.01048,-0.0016,-0.00885,0.37,0.405,EURUSD_426,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,53,09-Jan-12,09-Jan-12,0.39,6.2228,0.45648,0.01038,-0.00156,-0.00895,0.3725,0.4075,EURUSD_427,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,54,10-Jan-12,10-Jan-12,0.3925,6.1661,0.44288,0.01028,-0.00152,-0.00906,0.375,0.41,EURUSD_428,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,55,11-Jan-12,11-Jan-12,0.3925,6.1111,0.42999,0.01018,-0.00148,-0.00917,0.375,0.41,EURUSD_429,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,56,12-Jan-12,12-Jan-12,0.395,6.0576,0.41773,0.01008,-0.00145,-0.00927,0.3775,0.4125,EURUSD_430,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.38,,,57,13-Jan-12,13-Jan-12,0.3975,6.0056,0.40608,0.00999,-0.00141,-0.00937,0.38,0.415,EURUSD_431,1
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.39,,,1,18-Nov-11,18-Nov-11,0.0352,0.1437,0.51805,0.00025,-0.00039,0,0.0004,0.07,EURUSD_432,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.39,,,2,19-Nov-11,19-Nov-11,0.03565,0.40238,1.1609,0.0009,-0.00132,0,0.0013,0.07,EURUSD_433,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.39,,,3,20-Nov-11,20-Nov-11,0.045,1.6995,3.1144,0.00372,-0.00672,0,0.0075,0.0825,EURUSD_434,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.39,,,4,21-Nov-11,21-Nov-11,0.06,3.6701,4.4674,0.00756,-0.01363,0,0.0175,0.1025,EURUSD_435,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.39,,,5,22-Nov-11,22-Nov-11,0.0675,5.148,4.695,0.01027,-0.01644,-0.00015,0.0225,0.1125,EURUSD_436,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.39,,,6,23-Nov-11,23-Nov-11,0.0725,6.1419,4.4814,0.01202,-0.01681,-0.00035,0.0275,0.1175,EURUSD_437,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.39,,,7,24-Nov-11,24-Nov-11,0.075,6.682,4.2049,0.01312,-0.01582,-0.00057,0.0325,0.1175,EURUSD_438,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.39,,,8,25-Nov-11,25-Nov-11,0.0875,7.1104,3.8614,0.01388,-0.01481,-0.00081,0.045,0.13,EURUSD_439,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.39,,,9,26-Nov-11,26-Nov-11,0.09,7.1904,3.7763,0.01464,-0.01327,-0.00102,0.05,0.13,EURUSD_440,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.39,,,10,27-Nov-11,27-Nov-11,0.1,7.381,3.5402,0.01515,-0.01226,-0.00126,0.0625,0.1375,EURUSD_441,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.39,,,11,28-Nov-11,28-Nov-11,0.11375,7.5602,3.2372,0.01539,-0.01143,-0.0015,0.0775,0.15,EURUSD_442,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.39,,,12,29-Nov-11,29-Nov-11,0.12625,7.6654,2.9653,0.0155,-0.01062,-0.00174,0.0925,0.16,EURUSD_443,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.39,,,13,30-Nov-11,30-Nov-11,0.1375,7.7186,2.7236,0.01553,-0.00987,-0.00198,0.105,0.17,EURUSD_444,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.39,,,14,01-Dec-11,01-Dec-11,0.14875,7.7346,2.5099,0.0155,-0.00918,-0.0022,0.1175,0.18,EURUSD_445,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.39,,,15,02-Dec-11,02-Dec-11,0.15875,7.7239,2.3205,0.01543,-0.00855,-0.00242,0.13,0.1875,EURUSD_446,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.39,,,16,03-Dec-11,03-Dec-11,0.16,7.7152,2.2766,0.01578,-0.00798,-0.00264,0.1325,0.1875,EURUSD_447,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.39,,,17,04-Dec-11,04-Dec-11,0.16625,7.6912,2.1573,0.01582,-0.00748,-0.00285,0.14,0.1925,EURUSD_448,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.39,,,18,05-Dec-11,05-Dec-11,0.17625,7.6475,2.0073,0.01567,-0.00702,-0.00306,0.1525,0.2,EURUSD_449,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.39,,,19,06-Dec-11,06-Dec-11,0.185,7.5977,1.8733,0.01552,-0.00661,-0.00326,0.16,0.21,EURUSD_450,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.39,,,20,07-Dec-11,07-Dec-11,0.1925,7.5406,1.753,0.01535,-0.00623,-0.00345,0.17,0.215,EURUSD_451,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.39,,,21,08-Dec-11,08-Dec-11,0.20125,7.4782,1.6446,0.01518,-0.00589,-0.00364,0.18,0.2225,EURUSD_452,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.39,,,22,09-Dec-11,09-Dec-11,0.20875,7.4124,1.5467,0.01501,-0.00558,-0.00382,0.1875,0.23,EURUSD_453,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.39,,,23,10-Dec-11,10-Dec-11,0.21,7.3965,1.5237,0.01522,-0.00532,-0.00403,0.19,0.23,EURUSD_454,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.39,,,24,11-Dec-11,11-Dec-11,0.215,7.3479,1.4605,0.01517,-0.00507,-0.00421,0.195,0.235,EURUSD_455,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.39,,,25,12-Dec-11,12-Dec-11,0.2225,7.2786,1.3794,0.01499,-0.00482,-0.00439,0.2025,0.2425,EURUSD_456,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.39,,,26,13-Dec-11,13-Dec-11,0.22875,7.2076,1.3059,0.01481,-0.0046,-0.00456,0.21,0.2475,EURUSD_457,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.39,,,27,14-Dec-11,14-Dec-11,0.235,7.1364,1.2385,0.01463,-0.00439,-0.00472,0.2175,0.2525,EURUSD_458,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.39,,,28,15-Dec-11,15-Dec-11,0.24125,7.0654,1.1766,0.01446,-0.00419,-0.00488,0.2225,0.26,EURUSD_459,0
17-Nov-11,EURUSD,EUR,USD,ED,C,1.3468,1.39,,,29,16-Dec-11,16-Dec-11,0.2475,6.995,1.1198,0.01429,-0.00401,-0.00504,0.23,0.265,EURUSD_460,0
