Valuation Date,Term Structure,Base Currency,Term Currency,Option Class,Call/Put,Spot,Strike Price,Barrier1,Barrier2,Days,Expiry Date,Delivery Date,Price Mid,Delta,Gamma,Vega,Theta,Rho,Market Vol Bid,Market Vol Ask,Price Bid,Price Offer,ID,mini
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,122.8,,,1,02-Dec-11,02-Dec-11,0.11375,22.45,43.46,0.01605,-0.08987,0,0,0,0.0425,0.185,GBPJPY_59,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,122.9,,,1,02-Dec-11,02-Dec-11,0.10875,19.06,40.02,0.01478,-0.07257,0,0,0,0.0375,0.18,GBPJPY_60,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,123,,,1,02-Dec-11,02-Dec-11,0.11125,15.98,36.15,0.01335,-0.05796,0,0,0,0.04,0.1825,GBPJPY_61,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,123.1,,,1,02-Dec-11,02-Dec-11,0.07625,13.22,32.06,0.01184,-0.04577,0,0,0,0.0225,0.13,GBPJPY_62,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,123.2,,,1,02-Dec-11,02-Dec-11,0.07375,10.79,27.94,0.01032,-0.03574,0,0,0,0.02,0.1275,GBPJPY_63,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,123.3,,,1,02-Dec-11,02-Dec-11,0.06875,8.6948,23.93,0.00884,-0.02759,0,0,0,0.0175,0.12,GBPJPY_64,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,123.4,,,1,02-Dec-11,02-Dec-11,0.065,6.9159,20.16,0.00745,-0.02106,0,0,0,0.0175,0.1125,GBPJPY_65,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,123.5,,,1,02-Dec-11,02-Dec-11,0.06125,5.4299,16.71,0.00617,-0.01589,0,0,0,0.015,0.1075,GBPJPY_66,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,123.6,,,1,02-Dec-11,02-Dec-11,0.05625,4.2083,13.64,0.00504,-0.01186,0,0,0,0.0125,0.1,GBPJPY_67,0
01-Dec-11,GBPJPY,GBP,JPY,ED,C,121.64,123.7,,,1,02-Dec-11,02-Dec-11,0.05,3.2196,10.95,0.00405,-0.00874,0,0,0,0.0075,0.0925,GBPJPY_68,0
