Valuation Date,Term Structure,Base Currency,Term Currency,Option Class,Call/Put,Spot,Strike Price,Barrier1,Barrier2,Days,Expiry Date,Delivery Date,Price Mid,Delta,Gamma,Vega,Theta,Rho,Market Vol Bid,Market Vol Ask,Price Bid,Price Offer,ID,mini
02-Dec-11,USDCHF,USD,CHF,ED,P,0.91565,0.915,,,1,03-Dec-11,03-Dec-11,0.485,-54.33,5.6671,0.00217,0.01219,0,0,0,0.375,0.595,USDCHF_34,0
02-Dec-11,USDCHF,USD,CHF,ED,P,0.91565,0.919,,,1,03-Dec-11,03-Dec-11,0.70625,-47.81,-33.97,-0.01301,-0.05247,0,0,0,0.6075,0.805,USDCHF_35,0
02-Dec-11,USDCHF,USD,CHF,ED,P,0.91565,0.923,,,1,03-Dec-11,03-Dec-11,0.85625,-29.57,-45,-0.01723,-0.08223,0,0,0,0.78,0.9325,USDCHF_36,0
02-Dec-11,USDCHF,USD,CHF,ED,P,0.91565,0.927,,,1,03-Dec-11,03-Dec-11,0.91,-12.92,-30.09,-0.01152,-0.07074,0,0,0,0.8475,0.9725,USDCHF_37,0
02-Dec-11,USDCHF,USD,CHF,ED,P,0.91565,0.931,,,1,03-Dec-11,03-Dec-11,0.945,-4.0014,-12.54,-0.0048,-0.04259,0,0,0,0.9025,0.9875,USDCHF_38,0
02-Dec-11,USDCHF,USD,CHF,ED,P,0.91565,0.935,,,1,03-Dec-11,03-Dec-11,0.97515,-0.88313,-3.4748,-0.00133,-0.01958,0,0,0,0.9525,0.9978,USDCHF_39,0
02-Dec-11,USDCHF,USD,CHF,ED,P,0.91565,0.939,,,1,03-Dec-11,03-Dec-11,0.9911,-0.13948,-0.65999,-0.00025,-0.00724,0,0,0,0.9825,0.9997,USDCHF_40,0
02-Dec-11,USDCHF,USD,CHF,ED,P,0.91565,0.943,,,1,03-Dec-11,03-Dec-11,0.96375,-0.01583,-0.08747,-0.00003,-0.00224,0,0,0,0.9275,1,USDCHF_41,0
02-Dec-11,USDCHF,USD,CHF,ED,P,0.91565,0.947,,,1,03-Dec-11,03-Dec-11,0.96875,-0.0013,-0.00819,0,-0.0006,0,0,0,0.9375,1,USDCHF_42,0
02-Dec-11,USDCHF,USD,CHF,ED,P,0.91565,0.951,,,1,03-Dec-11,03-Dec-11,0.97625,-0.00008,-0.00055,0,-0.00016,0,0,0,0.9525,1,USDCHF_43,0
02-Dec-11,USDCHF,USD,CHF,ED,P,0.91565,0.955,,,1,03-Dec-11,03-Dec-11,0.98375,0,-0.00003,0,-0.00006,0,0,0,0.9675,1,USDCHF_44,0
02-Dec-11,USDCHF,USD,CHF,OT,,0.91565,,0.872,,1,03-Dec-11,03-Dec-11,0.001,0,0,0,0,0,0,0,0,0.002,USDCHF_45,0
02-Dec-11,USDCHF,USD,CHF,OT,,0.91565,,0.876,,1,03-Dec-11,03-Dec-11,0.001,0,0.00001,0,0.00002,0,0,0,0,0.002,USDCHF_46,0
02-Dec-11,USDCHF,USD,CHF,OT,,0.91565,,0.88,,1,03-Dec-11,03-Dec-11,0.001,-0.00004,0.00032,0,0.00012,0,0,0,0,0.002,USDCHF_47,0
02-Dec-11,USDCHF,USD,CHF,OT,,0.91565,,0.884,,1,03-Dec-11,03-Dec-11,0.001,-0.00102,0.00673,0,0.00067,0,0,0,0,0.002,USDCHF_48,0
02-Dec-11,USDCHF,USD,CHF,OT,,0.91565,,0.888,,1,03-Dec-11,03-Dec-11,0.0013,-0.0165,0.09442,0.00004,0.003,0,0,0,0,0.0026,USDCHF_49,0
02-Dec-11,USDCHF,USD,CHF,OT,,0.91565,,0.892,,1,03-Dec-11,03-Dec-11,0.00515,-0.17971,0.87768,0.00034,0.01105,0,0,0,0.0003,0.01,USDCHF_50,0
02-Dec-11,USDCHF,USD,CHF,OT,,0.91565,,0.896,,1,03-Dec-11,03-Dec-11,0.02525,-1.3314,5.3898,0.00206,0.03293,0,0,0,0.003,0.0475,USDCHF_51,0
02-Dec-11,USDCHF,USD,CHF,OT,,0.91565,,0.9,,1,03-Dec-11,03-Dec-11,0.05625,-6.7435,21.69,0.00831,0.07716,0,0,0,0.015,0.0975,USDCHF_52,0
02-Dec-11,USDCHF,USD,CHF,OT,,0.91565,,0.904,,1,03-Dec-11,03-Dec-11,0.09,-23.47,56.04,0.02146,0.13593,0,0,0,0.03,0.15,USDCHF_53,0
02-Dec-11,USDCHF,USD,CHF,OT,,0.91565,,0.908,,1,03-Dec-11,03-Dec-11,0.2325,-56.4,88.19,0.03377,0.16653,0,0,0,0.1475,0.3175,USDCHF_54,0
02-Dec-11,USDCHF,USD,CHF,OT,,0.91565,,0.912,,1,03-Dec-11,03-Dec-11,0.57,-94.06,69.97,0.02679,0.11513,0,0,0,0.475,0.665,USDCHF_55,0
02-Dec-11,USDCHF,USD,CHF,OT,,0.91565,,0.916,,1,03-Dec-11,03-Dec-11,0.905,108.45,7.7766,0.00298,0.01203,0,0,0,0.8425,0.9675,USDCHF_56,0
02-Dec-11,USDCHF,USD,CHF,OT,,0.91565,,0.92,,1,03-Dec-11,03-Dec-11,0.50375,88.36,78.47,0.03005,0.12895,0,0,0,0.4075,0.6,USDCHF_57,0
02-Dec-11,USDCHF,USD,CHF,OT,,0.91565,,0.924,,1,03-Dec-11,03-Dec-11,0.21,50.63,86.04,0.03295,0.16507,0,0,0,0.1275,0.2925,USDCHF_58,0
02-Dec-11,USDCHF,USD,CHF,OT,,0.91565,,0.928,,1,03-Dec-11,03-Dec-11,0.08375,20.5,51.39,0.01968,0.12819,0,0,0,0.0275,0.14,USDCHF_59,0
02-Dec-11,USDCHF,USD,CHF,OT,,0.91565,,0.932,,1,03-Dec-11,03-Dec-11,0.05625,5.8915,19.5,0.00747,0.07167,0,0,0,0.015,0.0975,USDCHF_60,0
02-Dec-11,USDCHF,USD,CHF,OT,,0.91565,,0.936,,1,03-Dec-11,03-Dec-11,0.03385,1.2075,4.964,0.0019,0.03104,0,0,0,0.0027,0.065,USDCHF_61,0
02-Dec-11,USDCHF,USD,CHF,OT,,0.91565,,0.94,,1,03-Dec-11,03-Dec-11,0.0189,0.17727,0.86996,0.00033,0.01089,0,0,0,0.0003,0.0375,USDCHF_62,0
02-Dec-11,USDCHF,USD,CHF,OT,,0.91565,,0.944,,1,03-Dec-11,03-Dec-11,0.0075,0.01872,0.10672,0.00004,0.00319,0,0,0,0,0.015,USDCHF_63,0
02-Dec-11,USDCHF,USD,CHF,OT,,0.91565,,0.948,,1,03-Dec-11,03-Dec-11,0.00115,0.00143,0.00927,0,0.00079,0,0,0,0,0.0023,USDCHF_64,0
02-Dec-11,USDCHF,USD,CHF,OT,,0.91565,,0.952,,1,03-Dec-11,03-Dec-11,0.001,0.00008,0.00057,0,0.00017,0,0,0,0,0.002,USDCHF_65,0
02-Dec-11,USDCHF,USD,CHF,OT,,0.91565,,0.956,,1,03-Dec-11,03-Dec-11,0.001,0,0.00003,0,0.00003,0,0,0,0,0.002,USDCHF_66,0
02-Dec-11,USDCHF,USD,CHF,NT,,0.91565,,0.873,,1,03-Dec-11,03-Dec-11,0.999,0,0,0,-0.00004,0,0,0,0.998,1,USDCHF_67,0
02-Dec-11,USDCHF,USD,CHF,NT,,0.91565,,0.877,,1,03-Dec-11,03-Dec-11,0.999,0,-0.00002,0,-0.00006,0,0,0,0.998,1,USDCHF_68,0
02-Dec-11,USDCHF,USD,CHF,NT,,0.91565,,0.881,,1,03-Dec-11,03-Dec-11,0.999,0.0001,-0.00071,0,-0.00023,0,0,0,0.998,1,USDCHF_69,0
02-Dec-11,USDCHF,USD,CHF,NT,,0.91565,,0.885,,1,03-Dec-11,03-Dec-11,0.99895,0.00213,-0.01354,-0.00001,-0.00103,0,0,0,0.9979,1,USDCHF_70,0
02-Dec-11,USDCHF,USD,CHF,NT,,0.91565,,0.889,,1,03-Dec-11,03-Dec-11,0.9984,0.03108,-0.17137,-0.00007,-0.00427,0,0,0,0.9969,0.9999,USDCHF_71,0
02-Dec-11,USDCHF,USD,CHF,NT,,0.91565,,0.893,,1,03-Dec-11,03-Dec-11,0.9922,0.30734,-1.4367,-0.00055,-0.01486,0,0,0,0.985,0.9994,USDCHF_72,0
02-Dec-11,USDCHF,USD,CHF,NT,,0.91565,,0.897,,1,03-Dec-11,03-Dec-11,0.9663,2.0695,-7.9463,-0.00304,-0.04176,0,0,0,0.9375,0.9951,USDCHF_73,0
02-Dec-11,USDCHF,USD,CHF,NT,,0.91565,,0.901,,1,03-Dec-11,03-Dec-11,0.93375,9.5384,-28.7,-0.01099,-0.09155,0,0,0,0.89,0.9775,USDCHF_74,0
02-Dec-11,USDCHF,USD,CHF,NT,,0.91565,,0.905,,1,03-Dec-11,03-Dec-11,0.89125,30.24,-65.98,-0.02527,-0.14864,0,0,0,0.825,0.9575,USDCHF_75,0
02-Dec-11,USDCHF,USD,CHF,NT,,0.91565,,0.909,,1,03-Dec-11,03-Dec-11,0.6975,66.31,-90.07,-0.03449,-0.16274,0,0,0,0.6075,0.7875,USDCHF_76,0
02-Dec-11,USDCHF,USD,CHF,NT,,0.91565,,0.913,,1,03-Dec-11,03-Dec-11,0.32875,101.02,-54.51,-0.02088,-0.0881,0,0,0,0.2375,0.42,USDCHF_77,0
02-Dec-11,USDCHF,USD,CHF,NT,,0.91565,,0.917,,1,03-Dec-11,03-Dec-11,0.20625,-106.52,-29.43,-0.01127,-0.04592,0,0,0,0.125,0.2875,USDCHF_78,0
02-Dec-11,USDCHF,USD,CHF,NT,,0.91565,,0.921,,1,03-Dec-11,03-Dec-11,0.5875,-79.44,-86.69,-0.0332,-0.14674,0,0,0,0.4925,0.6825,USDCHF_79,0
02-Dec-11,USDCHF,USD,CHF,NT,,0.91565,,0.925,,1,03-Dec-11,03-Dec-11,0.84125,-41.71,-79.33,-0.03038,-0.16082,0,0,0,0.765,0.9175,USDCHF_80,0
02-Dec-11,USDCHF,USD,CHF,NT,,0.91565,,0.929,,1,03-Dec-11,03-Dec-11,0.92125,-15.5,-41.97,-0.01607,-0.11394,0,0,0,0.87,0.9725,USDCHF_81,0
02-Dec-11,USDCHF,USD,CHF,NT,,0.91565,,0.933,,1,03-Dec-11,03-Dec-11,0.95,-4.0911,-14.36,-0.0055,-0.05946,0,0,0,0.91,0.99,USDCHF_82,0
02-Dec-11,USDCHF,USD,CHF,NT,,0.91565,,0.937,,1,03-Dec-11,03-Dec-11,0.97045,-0.77107,-3.3236,-0.00127,-0.02437,0,0,0,0.9425,0.9984,USDCHF_83,0
02-Dec-11,USDCHF,USD,CHF,NT,,0.91565,,0.941,,1,03-Dec-11,03-Dec-11,0.98365,-0.1042,-0.53209,-0.0002,-0.00818,0,0,0,0.9675,0.9998,USDCHF_84,0
02-Dec-11,USDCHF,USD,CHF,NT,,0.91565,,0.945,,1,03-Dec-11,03-Dec-11,0.99625,-0.01014,-0.05982,-0.00002,-0.00232,0,0,0,0.9925,1,USDCHF_85,0
02-Dec-11,USDCHF,USD,CHF,NT,,0.91565,,0.949,,1,03-Dec-11,03-Dec-11,0.99895,-0.00071,-0.00477,0,-0.00058,0,0,0,0.9979,1,USDCHF_86,0
02-Dec-11,USDCHF,USD,CHF,NT,,0.91565,,0.953,,1,03-Dec-11,03-Dec-11,0.999,-0.00004,-0.00027,0,-0.00015,0,0,0,0.998,1,USDCHF_87,0
02-Dec-11,USDCHF,USD,CHF,NT,,0.91565,,0.957,,1,03-Dec-11,03-Dec-11,0.999,0,-0.00001,0,-0.00005,0,0,0,0.998,1,USDCHF_88,0
02-Dec-11,USDCHF,USD,CHF,DNT,,0.91565,,0.91,0.92,1,03-Dec-11,03-Dec-11,0.24,-8.3596,-112.7,-0.04316,-0.12145,0,0,0,0.1375,0.3425,USDCHF_89,0
02-Dec-11,USDCHF,USD,CHF,DNT,,0.91565,,0.908,0.921,1,03-Dec-11,03-Dec-11,0.3925,-21.43,-161.45,-0.06183,-0.24109,0,0,0,0.28,0.505,USDCHF_90,0
02-Dec-11,USDCHF,USD,CHF,DNT,,0.91565,,0.906,0.922,1,03-Dec-11,03-Dec-11,0.55875,-31.44,-163.43,-0.06259,-0.29336,0,0,0,0.4425,0.675,USDCHF_91,0
